9	27	810	7290
8	2	65	411.213	655.333
0	2	66	148.65	645.032
1	2	66	157.323	650.175
2	2	66	187.144	620.994
3	2	66	141.647	670.103
4	2	66	150.399	670.685
5	2	66	180.831	667.169
6	2	66	145.686	686.863
7	2	66	154.404	682.905
8	2	66	184.43	705.452
0	2	67	194.919	643.857
1	2	67	203.912	650.182
2	2	67	232.089	622.13
3	2	67	188.55	669.941
4	2	67	197.624	670.69
5	2	67	226.379	667.31
6	2	67	192.258	687.77
7	2	67	201.31	682.907
8	2	67	229.608	704.571
0	2	68	241.125	642.7
1	2	68	250.492	650.178
2	2	68	277.076	623.268
3	2	68	235.415	669.771
4	2	68	244.893	670.681
5	2	68	272.002	667.435
6	2	68	238.627	688.652
7	2	68	248.191	682.908
8	2	68	274.861	703.692
0	2	69	287.261	641.533
1	2	69	297.131	650.18
2	2	69	322.154	624.404
3	2	69	282.21	669.644
4	2	69	292.194	670.692
5	2	69	317.604	667.57
6	2	69	285.093	689.571
7	2	69	295.018	682.92
8	2	69	320.245	702.809
0	2	70	333.24	640.387
1	2	70	343.625	650.186
2	2	70	367.227	625.51
3	2	70	328.777	669.518
4	2	70	339.397	670.685
5	2	70	363.389	667.687
6	2	70	331.391	690.461
7	2	70	341.794	682.908
8	2	70	365.537	701.943
0	2	71	379.224	639.253
1	2	71	390.282	650.175
2	2	71	412.427	626.668
3	2	71	375.485	669.382
4	2	71	386.621	670.689
5	2	71	409.199	667.828
6	2	71	377.613	691.359
7	2	71	388.699	682.902
8	2	71	411.016	701.088
0	2	72	149.055	690.801
1	2	72	157.662	696.146
2	2	72	187.454	666.152
3	2	72	141.646	717.251
4	2	72	150.396	718.019
5	2	72	180.834	713.551
6	2	72	145.34	733.309
7	2	72	154.055	729.481
8	2	72	184.12	751.208
0	2	73	195.27	689.612
1	2	73	204.269	696.139
2	2	73	232.354	667.301
3	2	73	188.547	717.066
4	2	73	197.621	718.012
5	2	73	226.379	713.722
6	2	73	191.877	734.184
7	2	73	200.956	729.474
8	2	73	229.328	750.33
0	2	74	241.404	688.457
1	2	74	250.757	696.14
2	2	74	277.351	668.433
3	2	74	235.422	716.855
4	2	74	244.904	718.014
5	2	74	272.007	713.919
6	2	74	238.4	735.067
7	2	74	247.822	729.47
8	2	74	274.571	749.494
0	2	75	287.458	687.255
1	2	75	297.371	696.134
2	2	75	322.366	669.599
3	2	75	282.213	716.668
4	2	75	292.192	718.018
5	2	75	317.603	714.119
6	2	75	284.726	735.877
7	2	75	294.676	729.47
8	2	75	319.95	748.631
0	2	76	333.454	686.069
1	2	76	343.822	696.139
2	2	76	367.429	670.782
3	2	76	328.781	716.5
4	2	76	339.393	718.02
5	2	76	363.388	714.288
6	2	76	331.14	736.735
7	2	76	341.6	729.472
8	2	76	365.384	747.784
0	2	77	379.423	684.884
1	2	77	390.46	696.142
2	2	77	412.56	671.927
3	2	77	375.48	716.351
4	2	77	386.617	718.018
5	2	77	409.192	714.423
6	2	77	377.449	737.6
7	2	77	388.545	729.471
8	2	77	410.813	746.997
0	2	78	149.397	736.484
1	2	78	158.062	741.928
2	2	78	187.774	711.143
3	2	78	141.643	764.336
4	2	78	150.394	765.274
5	2	78	180.836	759.929
6	2	78	144.975	779.708
7	2	78	153.657	776.103
8	2	78	183.745	796.911
0	2	79	195.547	735.307
1	2	79	204.545	741.95
2	2	79	232.631	712.342
3	2	79	188.55	764.125
4	2	79	197.624	765.276
5	2	79	226.394	760.181
6	2	79	191.537	780.533
7	2	79	200.596	776.099
8	2	79	229.04	796.132
0	2	80	241.641	734.128
1	2	80	251.118	741.954
2	2	80	277.547	713.539
3	2	80	235.41	763.871
4	2	80	244.89	765.272
5	2	80	271.998	760.356
6	2	80	238.12	781.41
7	2	80	247.517	776.096
8	2	80	274.364	795.33
0	2	81	287.662	732.81
1	2	81	297.564	741.945
2	2	81	322.538	714.677
3	2	81	282.212	763.64
4	2	81	292.198	765.277
5	2	81	317.602	760.524
6	2	81	284.53	782.283
7	2	81	294.484	776.1
8	2	81	319.67	794.496
0	2	82	333.642	731.565
1	2	82	344.109	741.94
2	2	82	367.571	715.888
3	2	82	328.777	763.462
4	2	82	339.392	765.27
5	2	82	363.393	760.721
6	2	82	330.833	783.062
7	2	82	341.409	776.094
8	2	82	365.181	793.628
0	2	83	379.59	730.41
1	2	83	390.623	741.928
2	2	83	412.713	717.189
3	2	83	375.482	763.285
4	2	83	386.619	765.278
5	2	83	409.195	760.977
6	2	83	377.242	783.865
7	2	83	388.374	776.104
8	2	83	410.66	792.851
0	2	84	149.747	782.142
1	2	84	158.39	787.645
2	2	84	188.155	756.184
3	2	84	141.647	811.417
4	2	84	150.392	812.488
5	2	84	180.83	806.34
6	2	84	144.584	826.329
7	2	84	153.306	822.683
8	2	84	183.413	842.717
0	2	85	195.902	780.827
1	2	85	204.882	787.65
2	2	85	232.964	757.314
3	2	85	188.544	811.204
4	2	85	197.622	812.484
5	2	85	226.381	806.529
6	2	85	191.253	827.052
7	2	85	200.31	822.674
8	2	85	228.689	841.969
0	2	86	242.009	779.639
1	2	86	251.402	787.661
2	2	86	277.819	758.502
3	2	86	235.417	810.874
4	2	86	244.884	812.497
5	2	86	272.003	806.72
6	2	86	237.735	827.776
7	2	86	247.28	822.681
8	2	86	274.108	841.216
0	2	87	287.979	778.405
1	2	87	297.812	787.641
2	2	87	322.751	759.772
3	2	87	282.212	810.604
4	2	87	292.193	812.487
5	2	87	317.599	807.035
6	2	87	284.319	828.622
7	2	87	294.282	822.676
8	2	87	319.483	840.438
0	2	88	333.843	777.098
1	2	88	344.359	787.652
2	2	88	367.739	761.036
3	2	88	328.777	810.425
4	2	88	339.39	812.49
5	2	88	363.392	807.311
6	2	88	330.633	829.45
7	2	88	341.188	822.677
8	2	88	364.899	839.623
0	2	89	379.762	775.787
1	2	89	390.796	787.656
2	2	89	412.867	762.23
3	2	89	375.483	810.219
4	2	89	386.62	812.484
5	2	89	409.199	807.496
6	2	89	377.008	830.245
7	2	89	388.164	822.673
8	2	89	410.522	838.786
0	3	90	514.538	132.311
1	3	90	527.924	142.193
2	3	90	546.429	128.374
3	3	90	513.768	155.474
4	3	90	527.253	152.456
5	3	90	545.845	156.656
6	3	90	515.859	192.68
7	3	90	529.154	177.166
8	3	90	547.423	198.905
0	3	91	560.6	131.507
1	3	91	574.891	142.193
2	3	91	592.269	129.142
3	3	91	560.176	155.678
4	3	91	574.467	152.443
5	3	91	591.95	156.442
6	3	91	561.461	193.938
7	3	91	575.591	177.155
8	3	91	592.753	197.658
0	3	92	606.605	130.685
1	3	92	621.855	142.19
2	3	92	638.168	129.886
3	3	92	606.431	155.942
4	3	92	621.694	152.444
5	3	92	638.131	156.212
6	3	92	607.06	195.2
